ID,Type,Name,Artefact,Class,Length_mm,Width_mm
219,Tanged,C_3,3,Intermediate,86.66,27.75
220,Tanged,D_3,3,Novice,88.16,30
221,Tanged,E_3,3,Novice,90.49,30.1
222,Tanged,F_3,3,Novice,84.78,28.42
223,Tanged,G_3,3,Novice,86.32,29.23
224,Tanged,H_3,3,Professional,89.23,30.87
225,Tanged,I_3,3,Novice,88.11,29.46
226,Tanged,J_3,3,Novice,87.2,27.53
227,Tanged,K_3,3,Novice,89.12,26.53
228,Tanged,L_3,3,Novice,87.86,29.71
229,Tanged,M_3,3,Novice,89.62,28.53
230,Tanged,N_3,3,Novice,89.28,30.38
231,Tanged,O_3,3,Novice,88.28,29.46
232,Tanged,P_3,3,Intermediate,88.28,29.21
233,Tanged,Q_3,3,Intermediate,87.65,30
234,Tanged,R_3,3,Photograph,88.83,29.18
235,Tanged,A_4,4,Novice,55.48,29.71
236,Tanged,B_4,4,Novice,54.06,29.29
237,Tanged,C_4,4,Intermediate,53.97,29.04
238,Tanged,D_4,4,Novice,53.89,30.04
239,Tanged,E_4,4,Novice,57.82,31.18
240,Tanged,F_4,4,Novice,53.2,28.26
241,Tanged,G_4,4,Novice,56.72,30.59
242,Tanged,H_4,4,Professional,57.8,31.53
243,Tanged,I_4,4,Novice,55,27.5
244,Tanged,J_4,4,Novice,53.56,29.37
245,Tanged,K_4,4,Novice,54.73,29.54
246,Tanged,L_4,4,Novice,55.21,29.58
247,Tanged,M_4,4,Novice,53.78,29.25
248,Tanged,N_4,4,Novice,55.95,30.97
249,Tanged,O_4,4,Novice,54.98,29.37
250,Tanged,P_4,4,Intermediate,53.64,28.28
251,Tanged,Q_4,4,Intermediate,56.88,28.44
252,Tanged,R_4,4,Photograph,57.01,30.54
253,Tanged,A_5,5,Novice,62.62,19.41
254,Tanged,B_5,5,Novice,59.75,18.08
255,Tanged,C_5,5,Intermediate,59.75,18.07
256,Tanged,D_5,5,Novice,58.9,18.57
257,Tanged,E_5,5,Novice,60.59,19.01
258,Tanged,F_5,5,Novice,58.06,17.74
259,Tanged,G_5,5,Novice,61.84,18.24
260,Tanged,H_5,5,Professional,62.22,18.93
261,Tanged,I_5,5,Novice,59.16,17.23
262,Tanged,J_5,5,Novice,58.83,18.16
263,Tanged,K_5,5,Novice,58.66,16.23
264,Tanged,L_5,5,Novice,60.42,18.32
265,Tanged,M_5,5,Novice,59.33,18.66
266,Tanged,N_5,5,Novice,59.66,18.49
267,Tanged,O_5,5,Novice,60.08,18.99
268,Tanged,P_5,5,Intermediate,59.58,17.66
269,Tanged,Q_5,5,Intermediate,61,16.49
270,Tanged,R_5,5,Photograph,62.81,17.45
